ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
PN96_13930	1.0	rhtB	homoserine transporter	[MISSING]
PN96_14675	1.0	kefB	potassium transporter KefB	[MISSING]
PN96_10470	1.0	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	[MISSING]
PN96_02745	1.0	ccmD	heme transporter CcmD	[MISSING]
PN96_02750	1.0	ccmE	cytochrome C biogenesis protein CcmE	[MISSING]
PN96_13410	3.0	atpA	ATP F0F1 synthase subunit alpha	[MISSING]
PN96_13405	1.0	atpH	ATP F0F1 synthase subunit delta	[MISSING]
PN96_13400	2.0	atpF	ATP F0F1 synthase subunit B	[MISSING]
PN96_22305	10.0	atpE	ATP F0F1 synthase subunit C	[MISSING]
PN96_22325	3.0	atpD	ATP synthase F0F1 subunit beta	[MISSING]
PN96_13415	1.0	atpG	ATP F0F1 synthase subunit gamma	[MISSING]
PN96_13390	1.0	atpB	ATP synthase F0F1 subunit A	[MISSING]
PN96_10810	2.0	tyrA	chorismate mutase	[MISSING]
PN96_03510	1.0	acpP	acyl carrier protein	[MISSING]
PN96_03500	1.0	fabD	malonyl CoA-ACP transacylase	[MISSING]
PN96_22500	1.0	yddG	aromatic amino acid exporter	[MISSING]
PN96_16380	6.0	nagB	glucosamine-6-phosphate deaminase	[MISSING]
PN96_09360	1.0	nagE	PTS N-acetylmuramic acid transporter subunit IIBC	[MISSING]
PN96_00180	1.0	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase	[MISSING]
PN96_20775	1.0	focA	formate transporter	[MISSING]
PN96_20325	1.0	nirD	nitrite reductase	[MISSING]
PN96_11095	4.0	gltB	glutamate synthase	[MISSING]
PN96_19690	1.0	rbsA	sugar ABC transporter ATP-binding protein	[MISSING]
PN96_02800	2.0	fadI	3-ketoacyl-CoA thiolase	[MISSING]
PN96_02805	2.0	fadJ	multifunctional fatty acid oxidation complex subunit alpha	[MISSING]
PN96_20915	1.0	fruA	PTS fructose transporter subunit IIBC	[MISSING]
PN96_20905	1.0	fruB	bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein	[MISSING]
PN96_14810	1.0	argH	amino-acid acetyltransferase	[MISSING]
PN96_14060	8.0	sthA	pyridine nucleotide transhydrogenase	[MISSING]
PN96_14080	1.0	btuB	ligand-gated channel	[MISSING]
PN96_02420	1.0	purN	phosphoribosylglycinamide formyltransferase	[MISSING]
PN96_14960	4.0	cysI	sulfite reductase subunit beta	[MISSING]
